Term;Stemmed;Variations;Getting started with Haskell and GHCi;Basic types and definitions;Designing and writing programs;Data types, tuples and lists;Programming with lists;Defining functions over lists;Playing the game: I/O in Haskell;Reasoning about programs;Generalization: patterns of computation;Higher-order functions;Developing higher-order programs;Overloading, type classes and type checking;Algebraic types;Case study: Huffman codes;Abstract data types;Lazy programming;Programming with monads;Domain-Specific Languages;Time and space behaviour
integer;integer;integer;15;55;40;18;11;9;18;3;11;18;3;35;10;1;13;16;16;1;10
quantifier;quantifier;quantifier;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
pattern matching;pattern matching;pattern matching;0;2;0;11;0;21;0;0;0;0;0;1;3;0;5;4;0;0;0
formal parameter;formal parameter;formal parameter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
definedness;definedness;definedness;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
string;string;strings, string;0;32;3;44;17;32;11;0;6;3;45;12;24;6;0;13;3;34;1
compiler;compiler;compiler;3;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;2;0
list comprehension;list comprehension;list comprehensions, list comprehension;0;0;0;22;5;5;0;0;8;0;5;0;0;0;0;28;1;0;0
sorting;sorting;sorting;0;0;0;0;0;7;1;0;2;1;4;2;0;5;0;0;0;0;5
equality;equality;equality;0;13;2;1;0;1;0;3;0;3;0;47;2;0;10;4;0;0;0
name;name;name;10;24;5;19;29;6;14;2;5;6;4;5;17;34;9;3;14;12;1
induction;induction;induction;0;0;0;0;0;0;0;73;0;17;0;0;22;0;0;15;0;0;1
exclusive or;exclusive or;exclusive or;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
list;list;lists, list;4;1;4;144;81;131;13;44;110;41;84;40;40;20;101;278;24;14;69
queue;queue;queue;0;0;0;0;0;0;0;0;0;0;0;0;1;0;79;12;0;0;0
juxtaposition;juxtaposition;juxtaposition;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
domain-specific language;domain-specific language;domain-specific languages, domain-specific language;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0
overloaded literal;overloaded literal;overloaded literals, overloaded literal;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
vector;vector;vector;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;1;0
invertcolour;invertcolour;invertcolour;1;0;0;0;1;0;0;0;3;0;1;0;0;0;0;0;0;0;0
numeric conversion;numeric conversion;numeric conversions, numeric conversion;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
output;output;output;2;3;0;2;2;2;29;0;2;10;8;3;4;0;5;17;16;5;7
implication;implication;implication;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
identifier;identifier;identifier;0;7;0;0;2;0;0;0;0;1;1;1;0;1;0;0;0;1;0
where;where;where;4;12;40;13;8;13;11;11;19;20;20;15;16;7;21;31;23;11;20
functional programming;functional programming;functional programming;2;1;0;0;0;0;2;1;2;1;1;1;0;0;0;6;2;3;0
