Term;Stemmed;Variations;Getting started with Haskell and GHCi;Basic types and definitions;Designing and writing programs;Data types, tuples and lists;Programming with lists;Defining functions over lists;Playing the game: I/O in Haskell;Reasoning about programs;Generalization: patterns of computation;Higher-order functions;Developing higher-order programs;Overloading, type classes and type checking;Algebraic types;Case study: Huffman codes;Abstract data types;Lazy programming;Programming with monads;Domain-Specific Languages;Time and space behaviour
advantage of functional programming;advantage of functional programming;advantages of functional programming, advantage of functional programming;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
conditional equation;conditional equation;conditional equation;0;3;4;0;0;2;0;0;0;0;1;1;0;0;0;4;0;0;0
NTree;ntree;NTree;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0
queuestate;queuestate;queuestate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;0;0;0
error handling;error handling;error handling;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0
program modification;program modification;program modification;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
monotype;monotype;monotype;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
visibility of definitions;visibility of definition;visibility of definitions;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
qualifier;qualifier;qualifier;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
edit distance;edit distance;edit distance;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;1
list of successes method;list of success method;list of successes method;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
specialization;specialization;specialization;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0
inheritance;inheritance;inheritance;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
recursion;recursion;recursion;0;0;51;0;0;30;2;6;16;4;3;0;19;0;2;3;2;3;0
tuple;tuple;tuples, tuple;0;0;0;24;0;1;0;0;0;1;0;0;1;0;0;1;3;0;1
maxthree;maxthree;maxthree;0;5;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
num;num;num;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;5;0;0
fibonacci number;fibonacci number;fibonacci numbers, fibonacci number;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2
beside;beside;beside;0;0;0;0;10;0;0;0;2;0;0;0;0;0;0;1;0;0;1
application;application;application;1;8;1;3;1;3;0;0;4;64;7;18;1;1;2;9;1;4;4
input/output;input/output;input/output;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0
pythagorean triple;pythagorean triple;pythagorean triple;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0
command;command;command;28;0;0;0;8;0;4;0;0;0;0;0;0;0;0;6;9;1;0
threeequal;threeequal;threeequal;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
genericity;genericity;genericity;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
parameter;parameter;parameter;0;0;0;1;1;1;1;0;7;1;3;4;2;2;2;5;5;1;2
dynamic programming;dynamic programming;dynamic programming;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
outmess;outmess;outmess;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;2;0;0;0
picture;picture;pictures, picture;16;1;10;2;102;0;0;3;14;11;32;2;2;0;0;0;0;38;0
haskell;haskell;haskell;48;47;23;20;49;6;18;4;10;33;10;66;8;10;11;17;17;55;5
abstraction;abstraction;abstraction;0;0;0;0;0;0;0;0;0;15;1;0;0;0;5;2;0;0;0
structural induction;structural induction;structural induction;0;0;0;0;0;0;0;7;0;4;0;0;11;0;0;3;0;0;0
backquote;backquote;backquote;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
max;max;max;0;7;16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
type class;type class;type classes, type class;0;2;0;0;0;0;0;0;0;0;0;21;3;0;3;0;1;1;0
type synonym;type synonym;type synonym;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
mapping;mapping;mapping;0;0;0;0;0;0;0;0;8;1;2;0;1;0;2;0;0;1;0
deriving;deriving;deriving;0;0;1;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0
pseudo-random number;pseudo-random number;pseudo-random numbers, pseudo-random number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
hardware;hardware;hardware;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9;0
extensionality principle;extensionality principle;extensionality principle;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
value;value;value;3;43;44;21;8;26;40;22;14;13;7;20;34;2;35;63;38;26;34
miranda;miranda;miranda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
variable;variable;variable;1;8;7;9;11;17;5;15;1;0;1;25;3;0;21;11;6;0;3
type declaration;type declaration;type declaration;0;0;4;0;2;0;0;1;0;0;2;10;0;0;1;0;0;0;0
floating-point operator;floating-point operator;floating-point operators, floating-point operator;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
class;class;classes, class;0;2;0;0;1;1;2;0;0;1;0;170;34;1;21;4;9;3;0
identity;identity;identity;0;0;0;0;1;0;0;2;0;6;0;0;0;3;0;0;13;0;1
polymorphism;polymorphism;polymorphism;0;0;0;0;10;0;0;0;1;0;1;6;0;1;0;2;0;0;0
imperative programming;imperative programming;imperative programming;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
glasgow haskell compiler;glasgow haskell compiler;glasgow haskell compiler;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
blackhorse;blackhorse;blackhorse;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
codemessage;codemessage;codemessage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
read;read;reads, read;1;13;2;11;3;1;40;4;0;5;5;21;4;1;1;6;15;1;0
expression;expression;expression;17;18;3;4;0;8;9;6;1;11;22;45;47;1;4;62;9;47;12
System.IO;System.IO;System.IO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;5;1;0
documentation;documentation;documentation;9;0;0;0;16;0;0;0;0;0;1;2;0;6;0;0;1;0;2
memoization;memoization;memoization;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
order;order;order;2;2;2;2;8;7;4;5;14;31;13;2;8;14;13;13;5;6;11
object-oriented;object-oriented;object-oriented;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;1;0
complexity;complexity;complexity;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;48
higher-order function;higher-order function;higher-order function;0;0;0;0;1;0;1;0;8;11;7;0;3;1;1;1;1;3;0
information hiding;information hiding;information hiding;0;0;0;0;0;0;0;0;0;0;0;1;0;4;3;0;0;0;0
union type;union type;union type;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
GHC;ghc;GHC;7;0;0;0;2;0;1;0;1;0;0;5;0;2;0;0;0;3;3
termination;termination;termination;0;0;2;0;0;0;1;3;0;0;0;0;1;0;0;0;0;1;0
op;op;ops, op;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0
interface;interface;interface;3;0;0;0;2;0;0;0;0;0;0;9;0;8;9;0;5;1;0
simplification;simplification;simplification;0;0;0;0;0;0;0;1;0;0;1;2;0;0;3;0;0;2;0
space leak;space leak;space leak;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
