Term;Stemmed;Variations;Chapter 1: The way of the program;Chapter 2: Variables, expressions and statements;Chapter 3: Functions;Chapter 4: Conditionals and recursion;Chapter 5: Fruitful functions;Chapter 6: Iteration;Chapter 7: Strings;Chapter 8: Lists;Chapter 9: Tuples;Chapter 10: Dictionaries;Chapter 11: Files and exceptions;Chapter 12: Classes and objects;Chapter 13: Classes and functions;Chapter 14: Classes and methods;Chapter 15: Sets of objects;Chapter 16: Inheritance;Chapter 17: Linked lists;Chapter 18: Stacks;Chapter 19: Queues;Chapter 20: Trees;Appendix A: Debugging;Appendix B: Creating a new data type
real dictionary;real dictionary;real dictionary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
condition;condition;condition;1;0;0;13;3;10;2;2;0;0;4;0;0;0;0;0;0;2;0;1;5;0
improved queue;improved queue;improved queue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
format string;format string;format string;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0
list comprehension;list comprehension;list comprehensions, list comprehension;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
function equality;function equality;function equality;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
puppet lab;puppet lab;puppet labs, puppet lab;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
list;list;lists, list;0;3;5;0;0;1;1;143;26;14;7;1;0;6;19;13;87;13;16;13;2;0
error stream;error stream;error stream;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
expression function;expression function;expression functions, expression function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
function definition;function definition;function definition;0;0;8;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
item;item;items, item;0;0;0;0;0;0;1;0;1;6;3;3;0;0;3;1;2;21;34;1;3;0
tree node;tree node;tree node;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
standard type;standard type;standard type;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
custom url;custom url;custom url;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
empty string;empty string;empty string;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;1;0;2;0;0;0;0
queueing policy;queueing policy;queueing policy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0
leading character;leading character;leading characters, leading character;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fundamental ambiguity;fundamental ambiguity;fundamental ambiguity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
different thing;different thing;different things, different thing;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
circular definition;circular definition;circular definition;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
configuration management;configuration management;configuration management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
specific handler;specific handler;specific handler;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
input source;input source;input sources, input source;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
regular expression;regular expression;regular expressions, regular expression;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
different argument;different argument;different argument;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
modulus operator overloading;modulus operator overloading;modulus operator overloading;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
value;value;values, value;3;31;36;11;37;39;9;15;25;33;16;11;1;15;9;2;6;0;2;1;10;2
standard library;standard library;standard library;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
unittest module;unittest module;unittest module;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
callable object;callable object;callable object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
parses html;par html;parses html;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cargo;cargo;cargo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;10;17;0;0
recursive data structure;recursive data structure;recursive data structure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0
known value;known value;known values, known value;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
object contain;object contain;object contains, object contain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sum;sum;sum;0;0;1;0;1;0;0;0;0;0;0;0;21;2;1;0;0;2;0;11;0;2
slice list;slice list;slice list;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
planned development;planned development;planned development;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
