Term;Stemmed;Variations;Chapter 1: The way of the program;Chapter 2: Variables, expressions and statements;Chapter 3: Functions;Chapter 4: Conditionals and recursion;Chapter 5: Fruitful functions;Chapter 6: Iteration;Chapter 7: Strings;Chapter 8: Lists;Chapter 9: Tuples;Chapter 10: Dictionaries;Chapter 11: Files and exceptions;Chapter 12: Classes and objects;Chapter 13: Classes and functions;Chapter 14: Classes and methods;Chapter 15: Sets of objects;Chapter 16: Inheritance;Chapter 17: Linked lists;Chapter 18: Stacks;Chapter 19: Queues;Chapter 20: Trees;Appendix A: Debugging;Appendix B: Creating a new data type
product;product;product;0;0;0;0;2;0;0;0;0;0;0;0;1;4;0;0;0;2;0;17;0;3
irrational;irrational;irrational;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
compound statement;compound statement;compound statement;0;1;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0
clone;clone;clone;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
slouse;slouse;slice, slouse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
second time;second time;second time;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
collection;collection;collection;0;0;3;0;0;0;0;1;0;1;1;0;0;0;0;0;4;3;1;0;0;0
command-line argument;command-line argument;command-line arguments, command-line argument;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
redundancy;redundancy;redundancy;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
uppercase;uppercase;uppercase;0;1;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
xml attribute;xml attribute;xml attribute;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test case;test case;test cases, test case;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
modu import;modu import;modu import;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
soap service;soap service;soap service;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
postorder;postorder;postorder;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
python support;python support;python supports, python support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
constant time;constant time;constant time;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0
priority queue;priority queue;priority queue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0
temporary variable;temporary variable;temporary variable;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0
object print statement;object print statement;object print statement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
datatype;datatype;datatype;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
compound data type;compound data type;compound data type;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
documentation;documentation;documentation;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0
function argument;function argument;function arguments, function argument;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fibonacci function;fibonacci function;fibonacci function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
django;django;django;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
minimal example;minimal example;minimal example;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
operation dictionary;operation dictionary;operation dictionary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
python interpreter;python interpreter;python interpreter;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
dynamic binding;dynamic binding;dynamic binding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
order;order;order;3;7;6;2;0;0;3;0;0;3;3;1;0;1;5;1;1;2;3;5;6;1
main menu;main menu;main menu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
same line;same line;same line;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
character class;character class;character class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
non-limited length;non-limited length;non-limited length;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
deck;deck;deck;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;46;0;0;0;0;0;0
in operator;in operator;in operator;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
list implementation;list implementation;list implementation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
FIFO;fifo;FIFO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
variable role;variable role;variable roles, variable role;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
special class;special class;special class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
interpreter;interpreter;interpreter;12;7;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
debugging information;debugging information;debugging information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
partial ordering;partial ordering;partial ordering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
negation;negation;negation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
data attribute;data attribute;data attributes, data attribute;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
normal python;normal python;normal python;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
list method;list method;list method;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0
processor time;processor time;processor time;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
initialization method;initialization method;initialization method;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;1;1;1;1;0;0;2
accessing element;accessing element;accessing element;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
keyword argument;keyword argument;keyword arguments, keyword argument;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
web application;web application;web applications, web application;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
platform;platform;platform;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
handling error;handling error;handling errors, handling error;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
bracket operator overloading;bracket operator overloading;bracket operator overloading;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
class instance;class instance;class instances, class instance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
string module;string module;string module;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mathematical operator;mathematical operator;mathematical operator;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
version number;version number;version number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proxy class;proxy class;proxy class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
return;return;returns, return;1;1;7;11;70;0;12;11;11;12;11;7;7;17;17;13;6;5;13;32;6;10
type checking;type checking;type checking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
python programming extending;python programming extending;python programming extending;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
python;python;python;17;12;13;9;5;4;5;4;4;5;7;2;0;8;2;1;1;5;4;2;9;5
conditional operator overloading;conditional operator overloading;conditional operator overloading;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
subexpression;subexpression;subexpression;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
string object;string object;string object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Robert McCloskey;Robert McCloskey;Robert McCloskey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
framework;framework;framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
special method;special method;special methods, special method;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
integer division;integer division;integer division;0;10;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
immutable queue;immutable queue;immutable queue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
python programmer;python programmer;python programmers, python programmer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pattern matching;pattern matching;pattern matching;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
decorator;decorator;decorator;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
underscore character;underscore character;underscore character;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
end tag;end tag;end tags, end tag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nested list;nested list;nested list;0;0;0;0;0;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0
single element;single element;single element;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
nameerror;nameerror;nameerror;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
operator override;operator override;operator override;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
token;token;token;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;10;2;0
full pathname;full pathname;full pathname;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
return value;return value;return value;0;0;4;0;15;0;0;1;4;0;0;1;0;0;0;1;0;0;0;0;0;0
similar string;similar string;similar string;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
circular equality;circular equality;circular equality;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test discovery;test discovery;test discovery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
escape sequence;escape sequence;escape sequence;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
timing framework;timing framework;timing framework;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
slice index;slice index;slice index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
static method;static method;static methods, static method;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
low-level language;low-level language;low-level language;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
reduce;reduce;reduce;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
command- line;command- line;command- line;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ancestor tree;ancestor tree;ancestor tree;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rule of precedence;rule of precedence;rules of precedence, rule of precedence;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
program crash;program crash;program crashes, program crash;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
operand;operand;operand;0;9;1;3;0;0;0;0;0;0;3;0;0;5;2;0;0;13;0;13;0;9
unicode datum;unicode datum;unicode data, unicode datum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
operation;operation;operations, operation;1;9;3;1;0;2;3;2;2;2;2;1;1;11;1;3;6;15;12;2;0;6
todo;todo;todo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
programming paradigm;programming paradigm;programming paradigm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
complete language;complete language;complete language;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
xml library;xml library;xml libraries, xml library;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
same thing;same thing;same thing;1;2;0;1;0;0;1;1;2;0;0;0;0;1;0;0;0;1;0;0;0;0
matrix;matrix;matrix;0;0;0;0;0;0;0;10;0;14;0;0;0;0;0;0;0;0;0;0;0;0
command-line;command-line;command-line;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
user-defined data type;user-defined data type;user-defined data type;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
regular string;regular string;regular string;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7-bit ascii;7-bit ascii;7-bit ascii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
re;re;re;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;6;0;0;0;1
recursive equality;recursive equality;recursive equality;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test module;test module;test module;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rational;rational;rational;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
actual parameter;actual parameter;actual parameters, actual parameter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
print;print;print;9;21;24;27;12;25;21;23;5;9;22;8;1;16;14;11;19;5;2;20;18;10
problem-solving;problem-solving;problem-solving;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
style class;style class;style classes, style class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dictionary;dictionary;dictionaries, dictionary;0;0;0;0;1;0;0;1;2;39;4;0;0;1;0;0;0;1;0;0;2;0
multiple method;multiple method;multiple methods, multiple method;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hard-coded string;hard-coded string;hard-coded string;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
standard;standard;standard;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;3;0;0;0;0
server respond;server respond;server responds, server respond;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
function body;function body;function body;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
orm;orm;orm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
format operator;format operator;format operator;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0
printing list backward;printing list backward;printing list backwards, printing list backward;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
element;element;elements, element;5;2;0;0;0;0;4;44;15;9;0;0;0;0;4;0;4;1;1;0;1;0
data type;data type;data types, data type;0;0;0;0;0;0;6;1;2;0;0;1;0;0;0;0;0;5;0;0;0;3
infix;infix;infix;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;7;0;0
card;card;card;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;77;0;3;0;0;0;0
positional arguments;positional arguments;positional arguments;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
logging;logging;logging;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
language;language;languages, language;69;5;1;0;3;2;0;0;0;0;0;0;2;4;0;1;0;4;0;0;0;1
helper function;helper function;helper function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
traceback;traceback;traceback;0;0;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0
programming;programming;programming;17;2;2;1;1;1;0;0;0;0;0;0;5;9;0;2;1;1;0;0;2;1
quoted string;quoted string;quoted strings, quoted string;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
introduction;introduction;introduction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length;length;length;0;0;0;0;2;0;7;4;1;0;0;0;0;1;2;0;6;0;18;0;2;0
recursive definition;recursive definition;recursive definition;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1
unit test;unit test;unit tests, unit test;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
concatenation;concatenation;concatenation;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continue statement;continue statement;continue statement;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
user;user;user;0;0;2;9;0;0;1;0;0;0;2;4;2;4;1;0;0;0;0;6;1;0
singleton;singleton;singleton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0
geometric sequence;geometric sequence;geometric sequence;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pseudocode;pseudocode;pseudocode;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
usage summary;usage summary;usage summary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
number;number;numbers, number;2;14;6;10;2;3;4;29;34;5;17;3;8;2;4;6;2;1;3;8;3;8
rank;rank;rank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;3;0;0;0;0;0;0
your code;your code;your code;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
support function;support function;support function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
path information;path information;path information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
message;message;message;5;12;1;6;1;0;0;0;1;1;4;0;0;1;0;0;0;1;0;1;11;0
portable;portable;portable;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sample code;sample code;sample code;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
service;service;services, service;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
wrapper function;wrapper function;wrapper function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
ordering;ordering;ordering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
unary operator;unary operator;unary operator;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system;system;systems, system;4;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
wrapper;wrapper;wrapper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0
parent node;parent node;parent node;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
priority;priority;priority;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0
operator work;operator work;operator works, operator work;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
single argument;single argument;single argument;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
append method;append method;append method;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
statement;statement;statements, statement;8;27;24;44;18;27;2;2;2;1;15;5;2;0;3;1;1;0;1;3;15;0
performance hazard;performance hazard;performance hazard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aliasing reference;aliasing reference;aliasing reference;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
stack diagram;stack diagram;stack diagram;0;0;7;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
using list;using list;using list;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tuple;tuple;tuples, tuple;0;0;0;0;0;0;0;0;28;2;5;1;0;0;2;1;0;0;0;0;2;0
tool;tool;tools, tool;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
xml atom;xml atom;xml atom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
start tag;start tag;start tags, start tag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
resource management;resource management;resource management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
operator override function;operator override function;operator override functions, operator override function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
task;task;task;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
augmented assignment;augmented assignment;augmented assignment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
functional programming style;functional programming style;functional programming style;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
list as argument;list a argument;list as argument;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
copy;copy;copy;0;0;0;0;0;0;0;5;0;8;3;26;0;6;0;2;0;0;0;0;0;0
two-dimensional table;two-dimensional table;two-dimensional table;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
recursive cursor;recursive cursor;recursive cursor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
object-oriented design;object-oriented design;object-oriented design;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
negative number;negative number;negative numbers, negative number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
database;database;database;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
iteration;iteration;iteration;0;0;0;0;0;7;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0
project;project;projects, project;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
postfix;postfix;postfix;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;3;0;0
tuple value;tuple value;tuple value;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
infinite list;infinite list;infinite list;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
str;str;str;0;5;5;0;0;0;4;0;1;0;5;4;0;20;3;0;2;0;0;2;0;0
code style;code style;code style;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
binary operator overloading;binary operator overloading;binary operator overloading;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
immutable type;immutable type;immutable types, immutable type;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0
continuous integration;continuous integration;continuous integration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
default processing;default processing;default processing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
result;result;results, result;6;14;16;3;21;1;3;0;3;7;3;3;1;1;1;1;1;4;1;5;2;4
value at once;value at once;values at once, value at once;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
debugging;debugging;debugging;12;0;0;0;6;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;3;0
counter;counter;counter;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
false;false;false;0;0;0;9;4;4;1;2;0;2;2;2;1;0;2;0;0;0;0;2;1;0
shorthand syntax;shorthand syntax;shorthand syntax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
true division;true division;true division;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
object instance;object instance;object instance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
syntax error;syntax error;syntax errors, syntax error;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
argument;argument;arguments, argument;0;0;25;4;8;7;4;7;2;6;9;7;6;17;4;2;7;1;1;2;2;0
generalization;generalization;generalization;0;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
ancestor method;ancestor method;ancestor method;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
period specify;period specify;period specifies, period specify;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
increment;increment;increment;0;0;0;0;0;0;2;0;1;1;0;0;6;4;0;0;0;0;0;0;0;0
individual attribute;individual attribute;individual attributes, individual attribute;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
compile-time error;compile-time error;compile-time error;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
knowledge base;knowledge base;knowledge base;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
text datum;text datum;text data, text datum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
invalid index;invalid index;invalid index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mutable object;mutable object;mutable objects, mutable object;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
class name;class name;class name;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
multiple assignment;multiple assignment;multiple assignment;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
minion hosts;minion hosts;minion hosts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
note;note;note;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
instance;instance;instance;0;0;0;0;0;0;0;0;0;0;0;12;0;2;3;2;0;0;0;0;0;0
invoking method;invoking method;invoking method;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
re module;re module;re module;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
object-oriented programming;object-oriented programming;object-oriented programming;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;0;0;0
dealing card;dealing card;dealing cards, dealing card;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
performance;performance;performance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
python project;python project;python project;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aliasing;aliasing;aliasing;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0
soap;soap;soap;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
slice indice;slice indice;slice indices, slice indice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
